name,culinary_type,address,link,is_branch,payment_methods,description,price_range,open_schedule,available_facilities,unavailable_facilities,phone,overall_rating,individual_rating,seating_capacity
The Social Pot,"Jepang,Thailand","Lotte Shopping Avenue, Lantai 3, Jl. Prof Dr Satrio, Karet Kuningan, Setiabudi, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/the-social-pot-karet-kuningan,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (10:00 - 21:00),"Wifi,100% Halal,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Vegetarian",021 7692357,4.41,"4.5,4.4,4.3,4.5,4.4",
The Social Pot,"Jepang,Thailand","Pondok Indah Mall 1, Lantai 2, Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/the-social-pot-pondok-indah,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (10:00 - 20:00),"Wifi,100% Halal,Bisa reservasi,Area parkir","Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 22850588,4.41,"4.8,4.7,4.6,4.6,4.4",
Aljazeerah Restaurant & Function Hall - Polonia,Arab/Timur Tengah,"Jl. Cipinang Cempedak I No. 29, Jatinegara, Jakarta Timur",https://pergikuliner.com/restaurants/jakarta/aljazeerah-restaurant-dan-function-hall-polonia-jatinegara,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","Senin - Jumat (09:00 - 21:00), Sabtu - Minggu (08:00 - 21:00)","Wifi,Pesan antar,Area merokok,Area outdoor,100% Halal,Ruang VIP,Bisa reservasi,Area parkir","24 Jam,Alkohol,Vegetarian",087777223000,4.62,"4.5,4.5,4.4,4.3,4.5",
Oyster Dealer,"Jam Buka
Senin - Jumat (09:00 - 21:00), Sabtu - Minggu (08:00 - 21:00)

Buka

","Cove at Batavia PIK, Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",https://pergikuliner.com/restaurants/jakarta/oyster-dealer-pantai-indah-kapuk,False,"Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (12:00 - 21:00),"Wifi,Area merokok,Area outdoor,Area parkir,Alkohol","Pesan antar,24 Jam,100% Halal,Ruang VIP,Bisa reservasi,Vegetarian",021 29922448,4.44,"4.6,5.0,4.3,4.5,4.7",
Altitude Grill,Barat,"Altitude The Plaza, Lantai 46, Jl. MH Thamrin Kav. 28 - 30, Thamrin, Jakarta Pusat",https://pergikuliner.com/restaurants/jakarta/altitude-grill-thamrin,False,"Tunai,Visa,Master,Debet",,"
                  Di atas Rp. 200.000 /orang
                ",Senin - Minggu (07:00 - 22:00),"Wifi,Area merokok,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area outdoor,24 Jam,100% Halal,Ruang VIP,Vegetarian",083825207576,4.62,"4.6,4.6,4.3,4.5,4.5",
Locaahands,Kafe,"Jl. Opak No. 39, Wonokromo, Surabaya",https://pergikuliner.com/restaurants/surabaya/locaahands-wonokromo,True,"Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ",Senin - Minggu (11:00 - 21:00),"Wifi,Area merokok,Area outdoor,Bisa reservasi,Area parkir,Alkohol","Pesan antar,24 Jam,100% Halal,Ruang VIP,Vegetarian",031 5464055,4.48,"4.8,4.8,3.8,4.8,4.7",
Mr. Fox,Barat,"Tunjungan Plaza 5, Lantai Upper Ground, Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",https://pergikuliner.com/restaurants/surabaya/mr-fox-tegalsari,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","Senin - Jumat (11:30 - 13:30, 17:30 - 20:30), Sabtu - Minggu (11:00 - 20:30)","Wifi,Area merokok,Area outdoor,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,24 Jam,100% Halal,Vegetarian",021 29263561,4.55,"4.7,4.2,4.2,3.9,4.4",
Redback Specialty Coffee,Kafe,"Golf Graha Famili dan Country Club , Jl. Raya Golf Graha Famili Blok K, Dukuh Pakis, Surabaya",https://pergikuliner.com/restaurants/surabaya/redback-specialty-coffee-dukuh-pakis-2,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (10:00 - 22:00),"Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 29579992,4.39,"4.7,4.4,4.6,4.6,4.6",
Sushi Masa,Jepang,"Grey Building, Lantai 3, Jl. Tuna Raya No. 5, Penjaringan, Jakarta Utara",https://pergikuliner.com/restaurants/jakarta/sushi-masa-penjaringan,True,"Tunai,Visa,Master,Debet",,"
                  Di atas Rp. 200.000 /orang
                ",Senin - Minggu (11:00 - 21:00),"Area merokok,100% Halal,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Wifi,Pesan antar,Area outdoor,24 Jam,Vegetarian",081316070950,4.28,"4.9,4.6,4.6,4.8,4.6",
Shaburi & Kintan Buffet,Jepang,"Grand Metropolitan Bekasi, Lantai Upper Ground, Jl. KH. Noer Ali, Bekasi Selatan, Bekasi",https://pergikuliner.com/restaurants/bekasi/shaburi-dan-kintan-buffet-bekasi-selatan,True,"Tunai,Visa,Master,Debet",,"
                  Di atas Rp. 200.000 /orang
                ",Senin - Minggu (10:00 - 21:00),"100% Halal,Bisa reservasi,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Alkohol,Vegetarian",081322073624,4.58,"4.6,4.3,4.4,4.6,4.7",
Holycow! STEAKHOUSE by Chef Afit,Barat,"Food Lab, Jl. Kapten Tendean No. 41, Mampang, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/holycow-steakhouse-by-chef-afit-mampang,True,"Tunai,Visa,Master,Debet",,"
                  Di atas Rp. 200.000 /orang
                ",Senin - Minggu (10:00 - 21:00),"Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 29888895,4.7,"4.6,4.1,4.3,4.8,4.4",
Warung Leko,Indonesia,"Plaza Senayan, Lantai Basement, The FoodHall, Jl. Asia Afrika, Senayan, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/warung-leko-senayan-2,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ",Senin - Minggu (10:00 - 22:00),"100% Halal,Bisa reservasi,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Alkohol,Vegetarian",08179851258,4.5,"4.6,3.8,4.2,4.7,4.6",
Steak 21 Buffet,Barat,"Lotte Shopping Avenue, Lantai 3, Jl. Prof Dr Satrio, Karet Kuningan, Setiabudi, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/steak-21-buffet-karet-kuningan,True,"Tunai,Visa,Master,Debet,Go-pay,Ovo","Leisola by Aljazeerah is an modern Indonesian restaurant manage by Aljazeerah Restaurant & Lounge. The team behind this restaurant embarked on an exotic culinary expedition, traveling across the archipelago to learn about the indigenous cooking methods, originally ingredients, and the authentic flavours of the cuisines.

The culinary collective also developed engaging relationships with many local taste tribes by small scale producers around Indonesia. And also we take so...me of International cuisine like Italian food, Steak house, and French Pastries for serving our International guest based on our sustain market which is already running before in Aljazeerah Restaurant & Lounge. As a result of these efforts, both the menu and ambience at Leisola by Aljazeerah will genuine the flavours that accurately reflect Indonesia’s Fusion Taste.  selengkapnya","
                  Di atas Rp. 200.000 /orang
                ",Senin - Minggu (09:00 - 23:00),"Wifi,100% Halal,Area parkir","Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",081210446644,4.44,"4.5,4.4,4.0,4.7,4.6",
Leisola by Aljazeerah,"Indonesia,Barat","Al-Jazeerah, Lantai 3, Jl. Raden Saleh No. 62, Cikini, Menteng, Jakarta Pusat",https://pergikuliner.com/restaurants/jakarta/leisola-by-aljazeerah-cikini,False,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","Selasa - Sabtu (18:00 - 21:00), Senin dan Minggu Tutup","Wifi,Pesan antar,Area merokok,100% Halal,Ruang VIP,Bisa reservasi,Area parkir","Area outdoor,24 Jam,Alkohol,Vegetarian",021 29054084,4.44,"4.4,4.5,4.4,4.6,4.7",Kapasitas:  150 kursi
Maison Tremel,Dessert,"Plaza Indonesia, Lantai 5, Jl. MH Thamrin, Thamrin, Jakarta Pusat",https://pergikuliner.com/restaurants/jakarta/maison-tremel-thamrin,True,"Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ",Senin - Minggu (06:00 - 22:00),"100% Halal,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",031 99148377,4.36,"4.4,4.7,4.0,4.3,4.4",
NIX Kitchen & Bar,Barat,"Burza Tower, Lantai 9 - 10, Jl. Pantai Indah Selatan I, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",https://pergikuliner.com/restaurants/jakarta/nix-kitchen-dan-bar-pantai-indah-kapuk,False,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (11:00 - 21:00),"Wifi,Area merokok,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area outdoor,24 Jam,100% Halal,Ruang VIP,Vegetarian",021 29023398,4.35,"4.6,4.3,4.0,4.4,4.3",Kapasitas:  80 kursi
Tucano's Churrascaria Brasileira,Brasil,"Apartemen Pavilion Sudirman, Lantai Ground, Jl. KH Mas Mansyur, Tanah Abang, Jakarta Pusat",https://pergikuliner.com/restaurants/jakarta/tucano-s-churrascaria-brasileira-tanah-abang,True,"Tunai,Visa,Master,Debet",,"
                  Di atas Rp. 200.000 /orang
                ",Senin - Minggu (09:00 - 21:00),"Wifi,100% Halal,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area merokok,Area outdoor,24 Jam,Vegetarian",08119216869,4.31,"4.3,4.6,3.9,4.6,4.5",
Jenderal Kopi Nusantara Buwas,Kafe,"Jl. LLRE Martadinata No. 219, Riau, Bandung",https://pergikuliner.com/restaurants/bandung/jenderal-kopi-nusantara-buwas-riau,True,"Tunai,Visa,Master,Debet,Go-pay,Ovo",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","Senin - Kamis (08:00 - 23:00), Jumat (13:00 - 23:00), Sabtu - Minggu (08:00 - 23:00)","Wifi,Area merokok,Area outdoor,100% Halal,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,24 Jam,Vegetarian",021 75904015,4.37,"4.4,4.3,4.3,4.1,4.1",
Toodz House,Kafe,"Jl. Cipete Raya No. 79, Fatmawati, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/toodz-house-fatmawati,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","Senin - Minggu (11:00 - 12:30, 18:00 - 23:00)","Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 29703333,4.23,"4.5,4.9,3.9,4.6,4.8",
House Of Yuen - Fairmont Jakarta,China,"Fairmont Jakarta, Lantai 3, Jl. Asia Afrika No. 8, Senayan, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/house-of-yuen-fairmont-jakarta-senayan,False,"Tunai,Visa,Master,Debet",,"
                  Di atas Rp. 200.000 /orang
                ",Senin - Minggu (07:00 - 21:00),"Wifi,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area merokok,Area outdoor,24 Jam,100% Halal,Vegetarian",081288483640,4.52,"4.6,4.1,4.9,4.7,4.4",
Karena Rasa,Kafe,"Perumnas 1, Jl. Komodo Raya No. 300, Bekasi Selatan, Bekasi",https://pergikuliner.com/restaurants/bekasi/karena-rasa-bekasi-selatan,False,"Tunai,Debet",,"
                  Di bawah Rp. 50.000 /orang
                ",Senin - Minggu (12:00 - 21:00),"Wifi,Area merokok,Area outdoor,100% Halal,Area parkir","Pesan antar,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",087772646253,4.52,"4.5,4.6,3.7,4.4,4.7",
Animale Restaurant,Barat,"MD Place, Lantai 11, Jl. Setiabudi Selatan No. 7, Setiabudi, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/animale-restaurant-setiabudi,False,"Tunai,Visa,Master,Debet",,"
                  Di atas Rp. 200.000 /orang
                ",Senin - Minggu (08:00 - 21:00),"Wifi,Area merokok,Area outdoor,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,24 Jam,100% Halal,Vegetarian",087885944244,4.36,"4.6,4.5,4.2,4.3,4.5",
Tsamara Resto & Function Hall,Indonesia,"Jl. Raya Hankam Kav. 69, Jatisampurna, Bekasi",https://pergikuliner.com/restaurants/bekasi/tsamara-resto-dan-function-hall-jatisampurna,False,"Tunai,Visa,Master,Debet,Dana",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ",Senin - Minggu (10:00 - 21:00),"Wifi,Area merokok,Area outdoor,100% Halal,Ruang VIP,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Alkohol,Vegetarian",082125574241,4.31,"4.2,4.7,4.0,4.3,4.3",Kapasitas:  400 kursi
Gyu Kaku,Jepang,"Tunjungan Plaza 4, Lantai 5, Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",https://pergikuliner.com/restaurants/surabaya/gyu-kaku-tegalsari,True,"Tunai,Visa,Master,Debet",,"
                  Di atas Rp. 200.000 /orang
                ",Senin - Minggu (10:00 - 21:00),"Wifi,100% Halal,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area merokok,Area outdoor,24 Jam,Vegetarian",031 5468349,4.62,"4.9,4.4,4.6,4.4,4.8",
Gruham Coffee & Bistro,Kafe,"Jl. Panglima Polim V No. 21, Panglima Polim, Kebayoran Baru, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/gruham-coffee-dan-bistro-panglima-polim,True,"Tunai,Visa,Master,Debet,Go-pay,Ovo","The famous Le Gran Café will tease your palate with an array of superb International buffet choices and an extensive a la carte menu featuring traditional Indonesian specialties as well as Western, Asian and Japanese cuisine.","
                  Rp. 50.000 - Rp. 100.000 /orang
                ",Senin - Minggu (06:00 - 23:00),"Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 7209966,4.44,"4.5,4.5,3.9,4.7,4.5",
Blau Eatery & Coffee,Kafe,"Jl. Pelepah Elok I Blok QA2 No. 7, Kelapa Gading, Jakarta Utara",https://pergikuliner.com/restaurants/jakarta/blau-eatery-dan-coffee-kelapa-gading,False,"Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","Senin - Jumat (10:00 - 21:00), Sabtu - Minggu (07:00 - 21:00)","Wifi,Area merokok,Area outdoor,Bisa reservasi,Area parkir","Pesan antar,24 Jam,100% Halal,Ruang VIP,Alkohol,Vegetarian",081382226779,4.41,"4.1,4.6,4.0,4.8,4.7",Kapasitas:  50 kursi
Djournal Coffee,Kafe,"Tunjungan Plaza 4, Lantai 1, Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",https://pergikuliner.com/restaurants/surabaya/djournal-coffee-tegalsari,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ",Senin - Minggu (07:00 - 21:00),"Wifi,Area merokok,100% Halal,Area parkir","Pesan antar,Area outdoor,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",021 22929497,4.33,"4.4,4.3,4.2,4.6,4.4",
Sushi Hiro,Jepang,"Senayan City, Lantai 5, Jl. Asia Afrika, Senayan, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/sushi-hiro-senayan,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","Senin - Jumat (10:00 - 22:00), Sabtu - Minggu (09:00 - 22:00)","Wifi,Ruang VIP,Area parkir,Alkohol","Pesan antar,Area merokok,Area outdoor,24 Jam,100% Halal,Bisa reservasi,Vegetarian",081999718181,4.33,"4.4,4.5,4.2,4.5,4.5",
Dough Lab,Toko Kue,"Central Park, Lantai Lower Ground, Jl. Letjen S. Parman, Slipi, Jakarta Barat",https://pergikuliner.com/restaurants/jakarta/dough-lab-slipi,True,"Visa,Master,Debet",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ",Senin - Minggu (10:00 - 22:00),"100% Halal,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",031 5314205,4.43,"4.5,4.4,4.2,4.4,4.3",
Norte Coffee,Kafe,"86 Workspace, Jl. Pluit Karang Selatan No. 86, Muara Karang, Penjaringan, Jakarta Utara",https://pergikuliner.com/restaurants/jakarta/norte-coffee-muara-karang,False,"Tunai,Go-pay,Ovo",,"
                  Di bawah Rp. 50.000 /orang
                ","Senin - Kamis (11:00 - 20:00), Jumat - Sabtu (11:00 - 21:00), Minggu (11:00 - 20:00)","Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 72782250,4.46,"4.5,4.5,3.8,4.4,4.5",Kapasitas:  50 kursi
Lee Palace,China,"Harmoni Exchange Center, Lantai 3, Jl. Hayam Wuruk No. 6, Hayam Wuruk, Jakarta Pusat",https://pergikuliner.com/restaurants/jakarta/lee-palace-hayam-wuruk,False,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (10:00 - 21:00),"Wifi,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area merokok,Area outdoor,24 Jam,100% Halal,Vegetarian",081296166723,4.27,"4.6,4.6,4.0,4.5,4.4",
Tata Cakery,Kafe,"Ruko Exclusive, Blok G No. 25, Bukit Golf Mediterania, Jl. Marina Indah Raya, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",https://pergikuliner.com/restaurants/jakarta/tata-cakery-pantai-indah-kapuk,True,"Tunai,Debet",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ",Senin - Minggu (10:00 - 22:00),"Wifi,100% Halal,Area parkir","Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",082178492921,4.3,"4.4,4.5,4.4,4.5,4.5",
Bellamie Boulangerie,Kafe,"Jl. Cihapit No. 37, Riau, Bandung",https://pergikuliner.com/restaurants/bandung/bellamie-boulangerie-riau,True,"Tunai,Visa,Master,Debet,Go-pay",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","Selasa - Jumat (10:30 - 15:00, 17:00 - 21:00), Sabtu (10:30 - 21:00), Minggu (08:00 - 21:00), Senin Tutup","Wifi,Pesan antar,Area merokok,Area outdoor,100% Halal,Ruang VIP,Bisa reservasi,Area parkir","24 Jam,Alkohol,Vegetarian",021 22035818,4.22,"4.3,4.5,4.1,4.1,4.4",
Canabeans,Kafe,"Brooklyn Alam Sutera Apartemen & Soho, Jl. Alam Sutera Boulevard, Alam Sutera, Serpong, Tangerang Selatan",https://pergikuliner.com/restaurants/tangerang/canabeans-alam-sutera,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ",Senin - Minggu (08:00 - 18:00),"Wifi,Area merokok,Area outdoor,100% Halal,Ruang VIP,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Alkohol,Vegetarian",021 22575041,4.27,"4.4,4.2,4.3,4.2,4.4",
Sushi Hiro,Jepang,"Plaza Indonesia, Lantai 2, Jl. MH Thamrin, Thamrin, Jakarta Pusat",https://pergikuliner.com/restaurants/jakarta/sushi-hiro-thamrin,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (07:00 - 21:00),"Ruang VIP,Area parkir,Alkohol","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,100% Halal,Bisa reservasi,Vegetarian",022 87805386,4.45,"4.5,4.3,4.1,4.1,4.2",
Yoshinoya,Jepang,"Plaza Surabaya, Lantai 1, Jl. Pemuda, Genteng, Surabaya",https://pergikuliner.com/restaurants/surabaya/yoshinoya-genteng,True,"Tunai,Debet",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ",Senin - Minggu (10:00 - 22:00),"Pesan antar,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Wifi,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 29924259,4.34,"4.6,4.9,4.1,4.3,4.5",
